Time,               Close,Daily_Transcations
2013-01-13,14.3148,46837
2013-01-14,14.3,43799
2013-01-15,14.47899,45653
2013-01-16,14.689,52197
2013-01-17,15.39,48021
2013-01-18,15.985,50896
2013-01-19,15.84304,56455
2013-01-20,15.89,41636
2013-01-21,16.98,41357
2013-01-22,17.59,40199
2013-01-23,17.5889,48267
2013-01-24,19.18999,46607
2013-01-25,18.8348,46045
2013-01-26,17.61926,53420
2013-01-27,17.99999,53451
2013-01-28,18.45,52321
2013-01-29,19.8,53617
2013-01-30,19.7,45810
2013-01-31,21.43,46104
2013-02-01,21.3,56756
2013-02-02,21.1,58834
2013-02-03,20.68,56212
2013-02-04,21.05,57480
2013-02-05,20.79,53445
2013-02-06,21.3339,44783
2013-02-07,22.15,58215
2013-02-08,22.15,65928
2013-02-09,23.69997,50847
2013-02-10,23.61458,57363
2013-02-11,24.1955,58835
2013-02-12,25.76997,58851
2013-02-13,26.09999,57398
2013-02-14,26.53092,53849
2013-02-15,26.99898,57505
2013-02-16,27.07009,51218
2013-02-17,25.6083,50400
2013-02-18,26.81565,46318
2013-02-19,28.78999,55598
2013-02-20,29.81231,57613
2013-02-21,29.80012,58996
2013-02-22,30.901,58920
2013-02-23,29.27998,59386
2013-02-24,30.29777,57795
2013-02-25,30.25001,65164
2013-02-26,31.179,62005
2013-02-27,31.40181,62952
2013-02-28,33.50001,60993
2013-03-01,34.87799,65797
2013-03-02,34.1808,60659
2013-03-03,34.10007,49631
2013-03-04,36.35,64257
2013-03-05,40.04,56039
2013-03-06,47.5,66437
2013-03-07,42.49271,62423
2013-03-08,42.98,64814
2013-03-09,46.01112,47671
2013-03-10,46.5,71330
2013-03-11,47.7397,67610
2013-03-12,45.01771,44410
2013-03-13,46.79999,56177
2013-03-14,47.27589,58832
2013-03-15,47.25005,60064
2013-03-16,47.11,43349
2013-03-17,47.4419,34164
2013-03-18,47.65,39391
2013-03-19,57.76,48705
2013-03-20,63.40967,42579
2013-03-21,73.8,53840
2013-03-22,71.5,60129
2013-03-23,63,58002
2013-03-24,70.1,49834
2013-03-25,73.88798,51011
2013-03-26,78,47247
2013-03-27,88.9,51993
2013-03-28,93.56701,57170
2013-03-29,89.05,66205
2013-03-30,90.99999,59787
2013-03-31,92.50001,44586
2013-04-01,102.51001,52469
2013-04-02,108.73,60268
2013-04-03,138.79,65172
2013-04-04,131.99899,69048
2013-04-05,143.8,56063
2013-04-06,142.49765,57200
2013-04-07,160.0997,58820
2013-04-08,184,63470
2013-04-09,237.99,61429
2013-04-10,198,68820
2013-04-11,123.40098,67725
2013-04-12,76.488,60395
2013-04-13,109.49999,55361
2013-04-14,91,53417
2013-04-15,91,55211
2013-04-16,91,65797
2013-04-17,85.59999,56164
2013-04-18,96.5,52605
2013-04-19,119.62,57863
2013-04-20,123.86,48016
2013-04-21,125,45154
2013-04-22,123.515,46737
2013-04-23,136.08099,57304
2013-04-24,153.20019,67982
2013-04-25,151.12001,61214
2013-04-26,135.601,56533
2013-04-27,128.00001,48325
2013-04-28,135.98999,40986
2013-04-29,141.50002,50009
2013-04-30,139.109,48795
2013-05-01,124.2998,50437
2013-05-02,105.00003,57278
2013-05-03,93.15,55859
2013-05-04,111.98979,48349
2013-05-05,117.89001,49419
2013-05-06,120.94999,51244
2013-05-07,106.81,59215
2013-05-08,113.95001,47359
2013-05-09,109.56154,66370
2013-05-10,117.68,67937
2013-05-11,115.4,70410
2013-05-12,114.32,69320
2013-05-13,117.50298,62190
2013-05-14,119,63287
2013-05-15,114.98499,66411
2013-05-16,115.09024,60543
2013-05-17,124.49,60896
2013-05-18,123.74995,51982
2013-05-19,121.05628,47090
2013-05-20,122.65001,50093
2013-05-21,122.5,54664
2013-05-22,122.64,53981
2013-05-23,125.67,54824
2013-05-24,131.5,55106
2013-05-25,132.69,55836
2013-05-26,134.04701,39879
2013-05-27,132.60997,52377
2013-05-28,128.321,55138
2013-05-29,129.97994,54919
2013-05-30,130.99589,57170
2013-05-31,127.34072,57616
2013-06-01,129.19945,52390
2013-06-02,120.60293,51011
2013-06-03,120.00002,52048
2013-06-04,120.56663,60118
2013-06-05,122.4051,54947
2013-06-06,120.68998,55918
2013-06-07,110.29501,54331
2013-06-08,107.8,47973
2013-06-09,98.47045,46237
2013-06-10,104.96851,42406
2013-06-11,108,51208
2013-06-12,108.16201,46417
2013-06-13,109,43302
2013-06-14,100,48124
2013-06-15,101.96998,41531
2013-06-16,100,40076
2013-06-17,100.52521,43399
2013-06-18,107.38999,47025
2013-06-19,107.835,46903
2013-06-20,111.97,49440
2013-06-21,111,52994
2013-06-22,109.09,42571
2013-06-23,107.68389,40634
2013-06-24,101.96936,40963
2013-06-25,103.86665,45588
2013-06-26,104.40565,45576
2013-06-27,102.79001,46797
2013-06-28,96.63498,48324
2013-06-29,95.85301,38973
2013-06-30,96.5,32994
2013-07-01,90.998,34053
2013-07-02,89.55,43264
2013-07-03,82.8,35351
2013-07-04,79.8,34560
2013-07-05,67.85844,36291
2013-07-06,69.34602,36979
2013-07-07,70.942,28865
2013-07-08,77.64,36912
2013-07-09,76.32791,41777
2013-07-10,78.58899,39340
2013-07-11,87.15,41040
2013-07-12,97.8,50045
2013-07-13,95.995,40313
2013-07-14,94.75,34150
2013-07-15,98.37516,36738
2013-07-16,97.01,38784
2013-07-17,97.97,39565
2013-07-18,90.40001,41257
2013-07-19,93.41082,38020
2013-07-20,91.8775,33626
2013-07-21,88.93999,36884
2013-07-22,91.788,37257
2013-07-23,95.396,39644
2013-07-24,93.6216,39963
2013-07-25,96.2,42304
2013-07-26,96.39475,41428
2013-07-27,95.20461,35987
2013-07-28,99.00001,33111
2013-07-29,101.04202,44260
2013-07-30,101.89998,39998
2013-07-31,104.95555,51919
2013-08-01,104.19,45823
2013-08-02,105.5,53174
2013-08-03,103.80001,49065
2013-08-04,104.67459,44605
2013-08-05,106.4,47903
